ID2,Latitude,Longitude,TopDepth,BottomDepth,Horizon,c1998,c2008,c2015,n1998,n2008,n2015,d13C1998,d13C2008,d13C2015,pH1998,pH2008,pH2015,BD1998,BD2008,BD2015,CN1998,CN2008,CN2015
353,46.782730999934905,-117.08252699999639,10,20,Ap,2.183,1.1597,1.850564161407535,0.14624,0.11777,0.15741537578886974,,,-25.992815599999993,5.08,5.32,4.16,1.1963291894175994,1.2403754618904272,1.1809023060500734,14.927516411378553,9.847159718094591,11.755930144267277
353,46.782730999934905,-117.08252699999639,20,30,Ap-BA,1.4758,2.9437,1.2989894887720979,0.11122,0.22354,0.1372489249880554,,,-25.494057299999998,5.87,6.04,5.57,1.1963291894175994,1.1963291894175994,1.1062688568555146,13.26919618773602,13.1685604366109,9.464478420396714
353,46.782730999934905,-117.08252699999639,30,46,BA,0.911,0.73695,0.7054446016030175,0.0958,0.08738,0.07476049033474774,,,-25.254950700000002,5.74,5.95,6.28,1.1611420306673228,1.1611420306673228,1.1611420306673228,9.509394572025053,8.433852140077821,9.43606172785006
353,46.782730999934905,-117.08252699999639,46,80,Bw1,0.58561,0.46538,0.4921045535744381,0.05815,0.06117,0.054831979507229775,,,-25.2415698,6.09,6.18,6.7,1.4393260596355992,1.4393260596355992,1.4393260596355992,10.070679277730008,7.6079777668791895,8.974772714699322
353,46.782730999934905,-117.08252699999639,80,120,Bw2,0.36811,0.35707,0.28455755817419476,0.04386,0.04803,0.035877233074339765,,,-24.7022166,6.34,6.45,6.99,1.5187894986287567,1.5187894986287567,1.5187894986287567,8.392840857273141,7.434311888403081,7.931424298651307
353,46.782730999934905,-117.08252699999639,120,153,Bwb,0.31382,0.31108,0.261945413424311,0.04445,0.04215,0.035833556944071754,,,-24.4881222,6.39,6.66,7.25,1.5524808937776724,1.5524808937776724,1.5524808937776724,7.0600674915635535,7.380308422301305,7.310058943719982
355,46.78256999993061,-117.0816910000048,0,10,Ap,2.2611,4.019164885496184,2.3131742132826614,0.16638,0.2611868702290076,0.19563794781480276,,,-26.4423795,5.21,5.27,4.67,1.2786966336547534,0.9123656694317146,1.1574359969652592,13.58997475658132,15.388081651930651,11.823750142136982
355,46.78256999993061,-117.0816910000048,10,20,Ap-A1,2.1544,2.0059,1.7688202386256742,0.16864,0.16398,0.14992425367592452,,,-25.920033499999995,5.24,5.38,4.78,1.2786966336547534,1.3536740113409134,1.2551828784162888,12.77514231499051,12.232589340163436,11.798092671844454
355,46.78256999993061,-117.0816910000048,20,30,A1,1.9362,1.6361,1.5865999629423755,0.14338,0.13128,0.14703631647211413,,,-25.555683299999995,5.88,6.03,5.55,1.2786966336547534,1.2786966336547534,1.223600402279584,13.503975449853534,12.46267519804997,10.790531217117907
355,46.78256999993061,-117.0816910000048,30,37,A1,1.3772,1.5307,1.3275788840566298,0.13376,0.13755,0.11767049134820022,,,-25.620352200000006,5.63,5.52,6.03,1.2308405408192722,1.2308405408192722,1.2308405408192722,10.296052631578949,11.12831697564522,11.282173371131549
355,46.78256999993061,-117.0816910000048,37,62,A2,1.0099,0.73635,0.8226016640491866,0.0943,0.09331,0.08938416814248003,,,-25.3980234,5.88,6.09,6.26,1.2525724947636805,1.2525724947636805,1.2525724947636805,10.709437963944858,7.891437145000535,9.20299065420561
355,46.78256999993061,-117.0816910000048,62,107,Bw,0.45393,0.46965,0.505870364183094,0.06325,0.06848,0.05364063767839244,,,-25.1921634,6.28,6.3,6.7,1.4337189596900082,1.4337189596900082,1.4337189596900082,7.176758893280632,6.858206775700935,9.430729873423354
